Lebensmittel,Identifikationsnummer,Haltbarkeitvon,Haltbarkeitbis
Brot,d369f95d2d,28.4.2020,28.5.2020
Brot,ed54bc563d,28.4.2020,28.5.2020
Rotkohl,baeff642d8,6.5.2020,4.8.2020
Rotkohl,ec575761dc,6.5.2020,4.8.2020
Rotkohl,6847282914,6.5.2020,4.8.2020
Rotkohl,3f432710a4,6.5.2020,4.8.2020
Rotkohl,846b679da4,6.5.2020,4.8.2020
Rotkohl,413bc51325,6.5.2020,4.8.2020
Rotkohl,06a2ad8743,6.5.2020,4.8.2020
Rotkohl,77dbf056f8,6.5.2020,4.8.2020
Rotkohl,d3ee7dd748,6.5.2020,4.8.2020
Rotkohl,e36d559a87,6.5.2020,4.8.2020
